Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
16;1001056;Форма банка (без печати работодателя);Другое;1;0.46;женский;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;66;31;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0505617978;0;0;0;0;0.3333333333;2;4;169;6;0;3;27;79;1;0;0;0;0;0;0
16;1001076;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.34;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;77;54;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001096;Поступление зарплаты на счет;Ремонт;0;0.55;мужской;0;0;высшее;менеджер среднего звена;>250;0;102;46;Торговля;ЗАО;холост / не замужем;1;1;1;1;1;0.2010869565;0;0;0;0;0.4;4;6;147;10;2;0;21;163;1;1;1;1;1;0;0
16;1001116;Форма банка (без печати работодателя);Ремонт;1;0.08;мужской;0;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001136;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.48;женский;1;0;высшее;менеджер среднего звена;>250;0;21;35;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001156;Поступление зарплаты на счет;Ремонт;0;0.36;женский;0;0;высшее;специалист;>250;0;100;30;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.5;1;1;61;2;1;0;23;59;0;0;0;0;0;0;0
16;1001176;Форма банка (без печати работодателя);Покупка автомобиля;1;0.44;мужской;0;0;высшее;менеджер по продажам;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001196;Поступление зарплаты на счет;Ремонт;1;0.4;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;193;36;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001216;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.23;мужской;0;0;незаконченное высшее;рабочий;>250;0;60;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001236;Форма банка (без печати работодателя);Ремонт;0;0.34;мужской;0;0;высшее;менеджер высшего звена;< 50;0;13;51;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001256;Форма банка (без печати работодателя);Обучение;1;0.43;женский;2;0;второе высшее;менеджер по продажам;< 50;0;12;41;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001276;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;среднее;рабочий;>250;1;9;28;Другое;ООО;холост / не замужем;0;0;0;0;0;0.1428571429;0;2;0;0;0.6666666667;4;2;48;6;2;1;4;22;1;0;0;0;0;0;0
16;1001296;Поступление зарплаты на счет;Покупка автомобиля;0;0.17;мужской;1;0;высшее;специалист;>250;1;99;30;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0.1458333333;1;0;0;0;0.125;2;6;41;8;1;1;8;88;1;0;0;0;0;0;0
16;1001316;2НДФЛ;Покупка недвижимости/ строительство;0;0.34;мужской;0;0;высшее;специалист;< 50;1;44;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001336;Поступление зарплаты на счет;Ремонт;0;0.12;мужской;0;0;высшее;менеджер среднего звена;>250;0;28;30;Информационные технологии;ООО;женат / замужем;1;1;1;1;1;0;1;0;0;0;1;2;0;5;2;1;0;6;29;0;0;0;0;0;0;0
16;1001356;Поступление зарплаты на счет;Покупка автомобиля;0;0.55;женский;0;0;среднее-специальное;специалист;>250;0;93;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001376;Поступление зарплаты на счет;Ремонт;1;0.38;женский;1;0;среднее;вспомогательный персонал;>250;0;107;33;Торговля;ООО;холост / не замужем;3;2;1;1;1;0.25;0;0;0;0;0;0;3;15;3;0;0;13;110;1;1;1;1;0;1;1
16;1001396;Форма банка (без печати работодателя);Ремонт;0;0.5;женский;0;0;высшее;менеджер по продажам;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001416;2НДФЛ;Ремонт;0;0.19;мужской;0;0;высшее;менеджер среднего звена;>250;0;49;34;Торговля;ОАО;холост / не замужем;3;3;3;3;3;0.0175438596;0;0;0;0;0.6666666667;2;1;56;3;0;0;72;72;1;0;0;0;0;0;0
16;1001436;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.4;женский;0;0;высшее;менеджер высшего звена;< 50;0;203;48;Торговля;ООО;женат / замужем;2;1;0;0;0;0.0721649485;0;0;0;0;1;6;0;90;6;3;0;18;36;1;0;0;0;0;0;0
16;1001456;Поступление зарплаты на счет;Ремонт;1;0.46;женский;0;0;высшее;специалист;>250;0;69;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001476;Форма банка (без печати работодателя);Ремонт;1;0.55;женский;0;0;среднее-специальное;менеджер среднего звена;< 50;0;200;56;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001496;Поступление зарплаты на счет;Другое;1;0.49;мужской;0;0;среднее;рабочий;>250;0;6;26;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001516;Поступление зарплаты на счет;Покупка мебели;1;0.55;мужской;1;0;среднее;вспомогательный персонал;>250;0;349;53;Другое;ОАО;женат / замужем;2;2;0;0;0;0.037037037;1;2;2;2;0.1428571429;2;12;104;14;1;2;0;77;1;0;0;0;0;0;0
16;1001536;Форма банка (без печати работодателя);Ремонт;1;0.4;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001556;2НДФЛ;Ремонт;0;0.51;женский;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001576;2НДФЛ;Ремонт;1;0.43;мужской;0;0;высшее;вспомогательный персонал;>250;3;89;42;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;2;19;2;0;0;44;72;0;0;0;0;0;0;0
16;1001596;Форма банка (без печати работодателя);Другое;0;0.37;мужской;2;0;высшее;специалист;< 50;0;230;40;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001616;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.22;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001636;2НДФЛ;Покупка недвижимости/ строительство;1;0.31;мужской;0;0;среднее;менеджер среднего звена;>250;0;430;56;Другое;ОАО;холост / не замужем;3;3;2;0;0;0;1;0;0;0;0;1;2;21;3;1;1;54;78;0;0;0;0;0;0;0
16;1001656;Свободная форма с печатью работодателя;Ремонт;0;0.57;мужской;0;0;высшее;менеджер среднего звена;< 50;1;85;32;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.75;3;1;114;4;1;1;16;64;0;0;0;0;0;0;0
16;1001676;Форма банка (без печати работодателя);Ремонт;1;0.27;женский;1;0;высшее;менеджер среднего звена;< 50;0;51;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001696;Форма банка (без печати работодателя);Ремонт;0;0.48;мужской;0;0;*n.a.*;специалист;>250;0;41;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001716;2НДФЛ;Ремонт;1;0.54;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;78;34;Торговля;ООО;женат / замужем;2;1;1;1;1;0.0333333333;1;0;0;0;0;0;4;29;4;0;0;12;72;1;0;0;0;0;0;0
16;1001736;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.27;мужской;2;0;высшее;вспомогательный персонал;>250;0;80;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001756;Форма банка (без печати работодателя);Обучение;1;0.13;мужской;0;0;*n.a.*;специалист;>250;0;10;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001776;Форма банка (без печати работодателя);Ремонт;0;0.31;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;87;47;Информационные технологии;ЗАО;женат / замужем;0;0;0;0;0;0.0491803279;0;0;0;0;0.6666666667;2;1;116;3;0;1;25;100;1;0;0;0;0;0;0
16;1001796;2НДФЛ;Ремонт;1;0.49;мужской;1;0;среднее-специальное;рабочий;>250;1;123;36;Другое;ОАО;женат / замужем;0;0;0;0;0;0.2368421053;0;0;0;0;0.2857142857;2;5;87;7;1;1;10;107;1;1;1;1;1;0;0
16;1001816;Поступление зарплаты на счет;Ремонт;1;0.2;женский;2;0;среднее-специальное;вспомогательный персонал;>250;0;12;33;Торговля;ООО;холост / не замужем;2;2;2;2;2;0.0380952381;0;0;0;0;0.2;1;4;101;5;0;0;4;99;1;0;0;0;0;0;0
16;1001836;Поступление зарплаты на счет;Ремонт;0;0.33;мужской;1;0;высшее;менеджер по продажам;>250;0;33;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001856;Форма банка (без печати работодателя);Ремонт;0;0.54;мужской;2;0;Высшее/Второе высшее/Ученая степень;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001876;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.28;женский;1;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
