index;applied;develop;grants;avrg;inn_activity;doctors;nurses;tech_innovations;beds
-0,27608039;9597,9;0;27427,7;10,5;20,85235921;0,370473986;0,538178259;10075,2074;0,929996425
-0,191302037;16033,5;0;78348;11,3;10,99365751;0,669397651;0,806836755;5797,3308;1,4831558
-0,169996516;40697,3;0;70950,3;11,3;8,133971292;0,460696861;0,351768536;154,704;0,59960546
-0,412858125;3724,1;8820;63509,9;10,2;16,41468683;0,636941872;0,716401947;2681,1918;0,75676262
-0,20038447;470;14865,1;11616,7;10,2;12,2965642;0,302228044;0,35904376;4932,3203;0,946928598
-0,165777047;44758;0;187574,7;11,3;7,237813885;0,224346571;0,175712;602,1242;0,251017142
-0,386796527;15769,1;23;8810;11,4;5,555555556;0,502473789;0,710426425;1106,7365;0,724540858
-0,279058193;0;0;5945;10,5;13,37047354;0,85047692;1,148303107;686,4172;1,91118409
-0,256642423;47864;0;26936,8;10,3;2,24;0,092625703;0,135227072;672,4478;0,580927755
-0,391682552;908,7;0;25516,6;10,8;30,4;0,453872912;0,544811348;6139,9587;1,007696177
-0,387331888;104,2;38,8;10478;10,1;7,352941176;0,747363209;0,681968928;243,048;1,438674178
-0,218828564;0;0;2809,4;12,6;5,831533477;0,673669895;0,585526171;685,3478;1,259196066
-0,472338702;434;0;40429,8;12,1;6,804733728;0,348363049;0,56367782;4263,9886;0,406254285
-0,220518868;1187,5;0;4771;11,4;9,589041096;0,481344326;0,552972946;36,1252;2,363744458
-0,379727462;16856,7;0;13819,2;10,9;8,785529716;0,780998354;0,801589648;905,3199;1,544347028
-0,416753571;0;0;11255,2;11,3;10,25641026;0,394334042;0,320540537;326,0335;0,668753639
-0,20326848;4173,6;0;3250;10,9;8,173076923;0,686400126;0,647177261;343,5999;1,307428811
-0,276777967;0;0;10325;9,3;0,178890877;0,214601339;0,264334348;13,1687;1,321671738
-0,690116572;68956,1;16,5;4400;12,1;10,73943662;0,589697858;0,640243389;820,7933;0,649871109
-0,479636856;1533,9;0;115762;11,1;6,451612903;0,713141129;0,691660974;12,896;2,062094831
-0,323336315;0;0;0;11,4;5,633802817;1,338771787;1,87575168;18,1543;3,310150023
-0,73352233;0;0;1524;9,6;6,569343066;1,917785755;1,530584355;28,4962;1,366593174
-0,381630033;0;0;0;8,9;10,52631579;0,539596637;0,515703059;345,30105;1,39379205
-0,806196301;0;0;6838,5;10,8;1,98019802;1,196675084;1,169059505;21,5878;1,994458474
